wall_time,elapsed_s,event_type,event_button,event_axis,event_value,event_hat,pressed_buttons,axes,hats
2026-06-17T21:26:12.080,3.6157,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.131,3.6659,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.181,3.7161,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.231,3.7663,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.281,3.8165,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.332,3.8668,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.382,3.9171,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.432,3.9673,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.482,4.0175,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.532,4.0677,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.583,4.1179,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.633,4.1681,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.683,4.2183,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.733,4.2685,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.784,4.3189,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.834,4.3691,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.884,4.4194,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.934,4.4696,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.985,4.5199,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:13.035,4.5701,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:13.085,4.6203,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:13.135,4.6705,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:13.185,4.7207,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:13.236,4.7709,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
